Selective Mutation,,,,,Random Mutation,,
Generations ,Avg Cost,Avg Points,,,Generations ,Avg Cost,Avg Points
10,181.5,9201.5,,,10,178.3,8214.575
50,188.5,10590.775,,,50,182.8,9751.175
100,193,11113.925,,,100,194.3,10481.025
250,197.5,11491.9,,,250,194.8,11115.5
500,197.9,11622.125,,,500,195.4,11408.575
