last_name, first_name,player_id,year,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_game,b_hit_by_pitch,b_sac_bunt,b_sac_fly,r_run,Points
Perez, Hernan,541650,2021,19,21,1,1,0,0,0,10,2,0.053,0.053,0.143,0.195,0,0,0,10,0,0,0,1,-1
Inciarte, Ender,542255,2021,79,89,17,13,2,0,2,22,7,0.215,0.316,0.27,0.586,10,0,1,52,0,2,1,11,54
Ozuna, Marcell,542303,2021,188,208,40,27,6,0,7,46,19,0.213,0.356,0.288,0.645,26,0,0,48,1,0,0,21,137
Villar, Jonathan,542340,2021,454,505,113,75,18,2,18,132,46,0.249,0.416,0.321,0.737,42,7,14,142,3,2,0,63,340
Ortega, Rafael,542364,2021,296,330,86,59,14,2,11,70,30,0.291,0.463,0.358,0.82,33,6,12,103,2,2,0,44,262
Santana, Danny,542454,2021,116,127,21,13,2,1,5,30,10,0.181,0.345,0.252,0.597,14,2,4,38,1,0,0,15,85
Aguilar, Jesus,542583,2021,449,510,117,72,23,0,22,93,46,0.261,0.459,0.325,0.784,93,0,0,131,3,0,7,49,443.5
Anderson, Tyler,542881,2021,39,40,4,3,0,0,1,29,1,0.103,0.179,0.125,0.304,1,0,0,18,0,0,0,1,-3.5
Berti, Jon,542932,2021,233,271,49,34,10,1,4,61,32,0.21,0.313,0.31,0.623,19,4,8,85,3,1,2,35,162.5
Brantly, Rob,542963,2021,20,21,3,2,1,0,0,4,0,0.15,0.2,0.19,0.39,0,0,0,6,1,0,0,0,3
Burns, Andy,542992,2021,11,15,3,2,1,0,0,1,3,0.273,0.364,0.467,0.83,0,0,0,9,1,0,0,2,9.5
Crawford, Brandon,543063,2021,483,549,144,87,30,3,24,105,56,0.298,0.522,0.373,0.895,90,3,11,138,5,0,5,79,538.5
Cron, C.J.,543068,2021,470,547,132,72,31,1,28,117,60,0.281,0.53,0.375,0.905,92,0,1,142,13,0,4,70,519.5
DeSclafani, Anthony,543101,2021,51,62,2,1,1,0,0,33,4,0.039,0.059,0.097,0.156,1,0,0,33,0,7,0,2,-5.5
Dickerson, Alex,543105,2021,283,312,66,41,10,2,13,76,23,0.233,0.42,0.304,0.725,38,0,1,111,6,0,0,37,225
Gomes, Yan,543228,2021,349,375,88,58,15,1,14,78,19,0.252,0.421,0.301,0.723,52,0,0,103,6,0,1,49,286
Gray, Sonny,543243,2021,41,43,6,6,0,0,0,10,1,0.146,0.146,0.163,0.309,0,0,0,24,0,1,0,4,6
Grossman, Robbie,543257,2021,557,671,133,84,23,3,23,155,98,0.239,0.415,0.356,0.771,67,5,20,156,8,2,6,88,516.5
Harrison, Josh,543281,2021,505,558,141,98,33,2,8,75,31,0.279,0.4,0.341,0.741,60,6,9,138,18,0,3,58,403.5
Hendricks, Kyle,543294,2021,52,61,6,5,1,0,0,26,2,0.115,0.135,0.131,0.266,1,0,0,30,0,7,0,3,1
Hicks, Aaron,543305,2021,108,126,21,14,3,0,4,30,14,0.194,0.333,0.294,0.627,14,0,0,32,2,0,2,13,78
Hicks, John,543308,2021,31,31,8,3,1,0,4,8,0,0.258,0.677,0.258,0.935,7,0,0,10,0,0,0,6,37
Higashioka, Kyle,543309,2021,193,211,35,15,10,0,10,59,17,0.181,0.389,0.246,0.635,29,0,0,67,0,0,1,20,140.5
Hosmer, Eric,543333,2021,509,565,137,97,28,0,12,99,48,0.269,0.395,0.336,0.731,65,4,5,151,5,1,2,53,393.5
Lavarnway, Ryan,543432,2021,28,30,7,4,3,0,0,10,1,0.25,0.357,0.267,0.624,0,0,0,9,0,1,0,2,8
McCann, James,543510,2021,375,412,87,64,12,1,10,115,32,0.232,0.349,0.294,0.643,46,2,1,121,2,0,3,29,228.5
Miller, Brad,543543,2021,331,377,75,43,9,3,20,112,45,0.227,0.453,0.321,0.774,49,0,3,140,1,0,0,53,297
Nola, Austin,543592,2021,173,194,47,33,12,0,2,19,14,0.272,0.376,0.34,0.716,29,1,0,56,5,0,2,15,146.5
Rendon, Anthony,543685,2021,217,249,52,33,13,0,6,41,29,0.24,0.382,0.329,0.712,34,0,0,58,1,0,2,24,184.5
Semien, Marcus,543760,2021,652,724,173,87,39,2,45,146,66,0.265,0.538,0.334,0.873,102,1,16,162,3,0,3,115,697
Shaw, Travis,543768,2021,220,250,44,24,11,0,9,68,24,0.2,0.373,0.284,0.657,39,0,0,84,3,2,1,20,173
Springer III, George,543807,2021,299,342,79,37,19,1,22,79,37,0.264,0.555,0.351,0.906,50,1,4,78,4,0,1,59,333.5
Vazquez, Christian,543877,2021,458,498,118,88,23,1,6,84,33,0.258,0.352,0.307,0.659,49,5,8,138,2,1,4,51,314
Wong, Kolten,543939,2021,445,492,121,73,32,2,14,83,31,0.272,0.447,0.335,0.783,50,5,12,116,13,0,3,70,390.5
Gregorius, Didi,544369,2021,368,408,77,46,16,2,13,67,25,0.209,0.37,0.27,0.639,54,0,3,103,8,0,7,35,284.5
Garcia, Leury,544725,2021,415,474,111,80,22,4,5,97,41,0.267,0.376,0.329,0.705,54,2,6,126,4,9,5,60,330.5
Vargas, Ildemaro,545121,2021,77,83,12,8,3,1,0,17,6,0.156,0.221,0.217,0.438,7,0,1,34,0,0,0,7,37.5
Bauer, Trevor,545333,2021,30,34,1,1,0,0,0,11,1,0.033,0.033,0.059,0.092,1,0,0,14,0,3,0,0,-1.5
Grichuk, Randal,545341,2021,511,545,123,75,25,1,22,114,27,0.241,0.423,0.281,0.703,81,3,0,149,3,0,4,59,407
Marisnick, Jake,545350,2021,176,198,38,23,7,3,5,65,11,0.216,0.375,0.283,0.658,24,1,4,99,7,2,2,21,127.5
Stassi, Max,545358,2021,282,319,68,43,11,1,13,101,28,0.241,0.426,0.326,0.752,35,0,0,87,8,0,1,45,220.5
Trout, Mike,545361,2021,117,146,39,22,8,1,8,41,27,0.333,0.624,0.466,1.09,18,0,2,36,2,0,0,23,144.5
Herrera, Odubel,546318,2021,450,492,117,75,27,2,13,77,29,0.26,0.416,0.309,0.724,51,1,6,124,6,1,5,59,355.5
Alford, Anthony,546990,2021,133,148,31,19,6,1,5,58,12,0.233,0.406,0.311,0.717,11,6,5,49,3,0,0,14,80
Almora Jr., Albert,546991,2021,52,54,6,3,3,0,0,17,2,0.115,0.173,0.148,0.321,0,0,0,47,0,0,0,3,5.5
Poteet, Cody,547001,2021,10,11,1,1,0,0,0,3,0,0.1,0.1,0.091,0.191,1,0,0,7,0,1,0,1,2.5
Ruiz, Rio,547004,2021,125,141,21,14,4,0,3,38,12,0.168,0.272,0.241,0.513,10,0,2,62,1,1,2,11,63
Wolters, Tony,547172,2021,24,30,3,3,0,0,0,12,5,0.125,0.125,0.267,0.392,0,1,0,14,0,1,0,3,4
Harper, Bryce,547180,2021,488,599,151,73,42,1,35,134,100,0.309,0.615,0.427,1.042,84,3,13,141,5,2,4,101,630
Perez, Roberto,547379,2021,141,161,21,11,3,0,7,56,17,0.149,0.319,0.242,0.561,17,0,1,44,1,2,0,13,84
Kim, Kwang Hyun,547942,2021,26,29,3,2,1,0,0,9,0,0.115,0.154,0.138,0.292,2,0,0,25,1,2,0,0,4.5
Abreu, Jose,547989,2021,566,659,148,86,30,2,30,143,61,0.261,0.481,0.351,0.831,117,0,1,152,22,0,10,86,605.5
Diaz, Elias,553869,2021,338,371,83,46,18,1,18,60,30,0.246,0.464,0.31,0.774,44,0,0,106,2,0,1,52,299
Narvaez, Omar,553882,2021,391,445,104,73,20,0,11,84,41,0.266,0.402,0.342,0.743,49,0,0,123,7,0,6,54,315
Astudillo, Willians,553902,2021,208,216,49,34,8,0,7,12,3,0.236,0.375,0.259,0.634,21,0,0,72,4,0,1,17,138
Suarez, Eugenio,553993,2021,505,574,100,46,23,0,31,171,56,0.198,0.428,0.286,0.713,79,1,0,145,8,0,5,71,422.5
Wheeler, Zack,554430,2021,68,73,11,9,2,0,0,39,0,0.162,0.191,0.151,0.342,3,0,0,32,0,5,0,1,0.5
Polanco, Gregory,570256,2021,336,382,70,45,12,2,11,104,36,0.208,0.354,0.283,0.637,36,1,14,107,2,0,8,38,242
Gonzalez, Erik,570481,2021,220,229,51,41,7,1,2,40,8,0.232,0.3,0.258,0.558,21,2,2,71,0,0,1,17,115
Urshela, Gio,570482,2021,420,442,112,78,18,2,14,109,20,0.267,0.419,0.301,0.72,49,0,1,116,1,0,1,42,284.5
Schoop, Jonathan,570731,2021,623,674,173,120,30,1,22,133,37,0.278,0.435,0.32,0.755,84,0,2,156,6,0,8,85,504.5
Adams, Matt,571431,2021,36,40,6,5,1,0,0,9,4,0.167,0.194,0.25,0.444,2,0,0,22,0,0,0,3,13.5
Arenado, Nolan,571448,2021,593,653,151,80,34,3,34,96,50,0.255,0.494,0.312,0.807,105,0,2,157,3,0,7,81,593
Barnhart, Tucker,571466,2021,348,388,86,58,21,0,7,100,29,0.247,0.368,0.317,0.685,48,0,0,116,8,0,3,41,252
Corbin, Patrick,571578,2021,53,63,7,7,0,0,0,24,3,0.132,0.132,0.159,0.291,0,0,0,28,0,7,0,1,-1
Farmer, Kyle,571657,2021,483,529,127,87,22,2,16,97,22,0.263,0.416,0.316,0.732,63,3,2,147,18,1,5,60,379.5
Goodwin, Brian,571718,2021,235,271,52,33,10,1,8,58,33,0.221,0.374,0.317,0.692,29,0,1,72,1,1,1,33,186
Hamilton, Billy,571740,2021,127,135,28,15,8,3,2,47,4,0.22,0.378,0.237,0.615,11,0,9,71,0,3,1,23,91.5
Haniger, Mitch,571745,2021,620,691,157,93,23,2,39,169,54,0.253,0.485,0.318,0.804,100,0,1,157,9,0,8,110,591.5
Hernandez, Enrique,571771,2021,508,585,127,69,35,3,20,110,61,0.25,0.449,0.337,0.786,60,0,1,134,9,0,7,84,449
Holt, Brock,571788,2021,235,260,49,33,13,1,2,49,23,0.209,0.298,0.281,0.579,23,1,5,76,1,0,1,21,145.5
Lamb, Jake,571875,2021,144,170,28,17,4,0,7,51,22,0.194,0.368,0.306,0.674,19,0,0,55,2,0,2,25,114.5
Maile, Luke,571912,2021,30,34,9,5,4,0,0,7,3,0.3,0.433,0.382,0.816,3,0,0,15,1,0,0,6,25.5
Marrero, Deven,571918,2021,16,19,3,2,0,0,1,6,3,0.188,0.375,0.316,0.691,1,0,1,10,0,0,0,4,14
Mikolas, Miles,571945,2021,8,15,0,0,0,0,0,5,1,0,0,0.067,0.067,0,0,0,9,0,6,0,0,-1.5
Muncy, Max,571970,2021,497,592,124,60,26,2,36,120,83,0.249,0.527,0.368,0.895,94,1,2,144,11,0,1,95,582
Myers, Wil,571976,2021,442,500,113,70,24,2,17,141,54,0.256,0.434,0.334,0.768,63,5,8,146,0,0,4,56,368.5
Naquin, Tyler,571980,2021,411,454,111,66,24,2,19,106,35,0.27,0.477,0.333,0.809,70,3,5,127,5,0,3,52,382
Owings, Chris,572008,2021,43,50,14,6,4,3,1,15,7,0.326,0.628,0.42,1.048,5,1,2,21,0,0,0,9,48.5
Piscotty, Stephen,572039,2021,173,188,38,25,8,0,5,48,13,0.22,0.353,0.282,0.635,16,0,1,72,2,0,0,14,100
Pollock, AJ,572041,2021,384,422,114,65,27,1,21,80,30,0.297,0.536,0.355,0.892,69,1,9,117,6,0,2,53,410
Seager, Kyle,572122,2021,603,670,128,63,29,1,35,161,59,0.212,0.438,0.285,0.723,101,1,3,159,4,0,4,73,526.5
Taylor, Michael A.,572191,2021,483,528,118,89,16,1,12,144,33,0.244,0.356,0.295,0.652,54,7,14,142,5,2,5,58,325
Thompson, Trayce,572204,2021,28,35,7,2,1,0,4,11,7,0.25,0.714,0.4,1.114,9,0,2,15,0,0,0,6,49.5
Voit III, Luke,572228,2021,213,241,51,32,7,1,11,74,21,0.239,0.437,0.328,0.764,35,0,0,68,7,0,0,26,180
Walker, Christian,572233,2021,401,445,98,64,23,1,10,106,38,0.244,0.382,0.315,0.696,46,0,0,115,4,0,2,55,289
Zunino, Mike,572287,2021,333,375,72,26,11,2,33,132,34,0.216,0.559,0.301,0.86,62,0,0,109,7,0,1,64,349
Carpenter, Matt,572761,2021,207,249,35,20,11,1,3,77,35,0.169,0.275,0.305,0.581,21,0,2,130,6,0,1,18,123.5
Dickerson, Corey,572816,2021,336,365,91,62,18,5,6,68,25,0.271,0.408,0.326,0.734,29,5,6,109,3,0,1,43,239
Garneau, Dustin,572863,2021,62,68,13,2,5,0,6,18,3,0.21,0.581,0.25,0.831,11,0,0,20,1,0,2,9,62
Ruf, Darin,573131,2021,262,312,71,40,13,2,16,87,46,0.271,0.519,0.385,0.904,43,1,2,117,3,0,1,41,271.5
Stroman, Marcus,573186,2021,51,58,5,3,2,0,0,24,4,0.098,0.137,0.155,0.292,1,0,1,30,0,3,0,2,5
Yastrzemski, Mike,573262,2021,468,532,105,49,28,3,25,131,51,0.224,0.457,0.31,0.767,71,0,4,139,9,1,3,75,433.5
Contreras, Willson,575929,2021,413,483,98,57,20,0,21,138,52,0.237,0.438,0.34,0.778,57,4,5,128,14,0,4,61,359
Iglesias, Jose,578428,2021,483,511,131,93,27,2,9,75,21,0.271,0.391,0.309,0.701,48,2,5,137,6,0,1,65,347.5
Torreyes, Ronald,591720,2021,318,344,77,59,10,1,7,41,19,0.242,0.346,0.282,0.628,41,1,2,111,1,5,1,30,224.5
Valera, Breyvic,591971,2021,87,97,22,15,6,0,1,12,8,0.253,0.356,0.309,0.666,15,0,1,39,0,1,1,10,75
Bryant, Kris,592178,2021,513,586,136,77,32,2,25,135,62,0.265,0.481,0.353,0.835,73,2,10,144,9,0,2,86,500.5
Canha, Mark,592192,2021,519,625,120,77,22,4,17,128,77,0.231,0.387,0.358,0.746,61,2,12,141,27,0,2,93,478
Casali, Curt,592200,2021,200,231,42,25,11,1,5,66,26,0.21,0.35,0.312,0.662,26,0,0,77,4,1,0,20,139
Castellanos, Nick,592206,2021,531,585,164,91,38,1,34,121,41,0.309,0.576,0.362,0.939,100,1,3,138,7,0,6,95,593.5
DeShields, Delino,592261,2021,47,58,12,6,5,0,1,11,9,0.255,0.426,0.362,0.788,6,1,2,25,0,2,0,4,42.5
Drury, Brandon,592273,2021,84,88,23,14,5,0,4,22,3,0.274,0.476,0.307,0.783,14,0,0,51,1,0,0,7,68
Gamel, Ben,592325,2021,340,400,84,55,18,3,8,105,51,0.247,0.388,0.345,0.733,26,6,3,122,3,2,4,43,228.5
Gausman, Kevin,592332,2021,54,62,10,10,0,0,0,31,2,0.185,0.185,0.194,0.379,4,0,0,31,0,5,1,6,10.5
Gonzalez, Chi Chi,592346,2021,31,34,5,4,1,0,0,16,1,0.161,0.194,0.176,0.37,1,0,0,24,0,2,0,3,4
Goodrum, Niko,592348,2021,290,325,62,40,11,2,9,107,29,0.214,0.359,0.292,0.651,33,5,14,90,4,0,2,39,211.5
Gray, Jon,592351,2021,47,50,5,5,0,0,0,32,0,0.106,0.106,0.1,0.206,3,0,0,30,0,3,0,2,-3
Holaday, Bryan,592407,2021,31,34,6,4,2,0,0,15,1,0.194,0.258,0.265,0.523,1,0,0,13,2,0,0,2,7.5
Jones, JaCoby,592444,2021,100,105,17,13,2,0,2,42,5,0.17,0.25,0.21,0.46,9,2,2,36,0,0,0,9,38
Judge, Aaron,592450,2021,550,633,158,95,24,0,39,158,75,0.287,0.544,0.373,0.916,98,2,6,148,3,0,5,89,593
Machado, Manny,592518,2021,564,640,157,96,31,2,28,102,63,0.278,0.489,0.347,0.836,106,5,12,153,2,0,11,92,613
Marmolejos, Jose,592530,2021,106,122,17,9,4,0,4,39,15,0.16,0.311,0.262,0.574,12,0,0,41,0,0,1,11,63.5
Moran, Colin,592567,2021,318,359,82,60,12,0,10,87,36,0.258,0.39,0.334,0.724,50,0,1,99,2,0,3,29,249.5
Payton, Mark,592622,2021,22,24,4,4,0,0,0,7,2,0.182,0.182,0.25,0.432,0,0,0,24,0,0,0,2,4.5
Pederson, Joc,592626,2021,429,481,102,62,19,3,18,117,39,0.238,0.422,0.31,0.732,61,3,2,137,8,0,5,55,347.5
Ramos, Henry,592656,2021,50,55,10,7,2,0,1,12,4,0.2,0.3,0.255,0.555,8,0,0,18,0,0,1,5,34
Realmuto, J.T.,592663,2021,476,537,125,79,25,4,17,129,48,0.263,0.439,0.343,0.782,73,3,13,134,11,0,2,64,436.5
Renfroe, Hunter,592669,2021,521,572,135,71,33,0,31,130,44,0.259,0.501,0.315,0.816,96,2,1,144,1,0,6,89,522
Rosario, Eddie,592696,2021,379,412,98,62,19,3,14,61,26,0.259,0.435,0.303,0.739,62,3,11,111,1,2,4,42,346.5
Sampson, Adrian,592716,2021,7,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,4,0,0,-3.5
Sanchez, Aaron,592717,2021,10,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,-3.5
Simmons, Andrelton,592743,2021,412,451,92,77,12,0,3,62,32,0.223,0.274,0.282,0.556,31,0,1,131,3,3,1,37,218
Smith, Caleb,592761,2021,22,25,2,1,1,0,0,14,1,0.091,0.136,0.16,0.296,0,0,1,45,1,1,0,2,2
Smyly, Drew,592767,2021,41,43,3,3,0,0,0,19,0,0.073,0.073,0.07,0.143,0,0,0,29,0,2,0,0,-6.5
Velasquez, Vince,592826,2021,23,30,2,2,0,0,0,9,2,0.087,0.087,0.133,0.22,3,0,0,24,0,5,0,0,5.5
Walker, Taijuan,592836,2021,47,51,5,5,0,0,0,29,1,0.106,0.106,0.137,0.244,1,0,0,28,1,2,0,0,-5.5
Wilkerson, Stevie,592859,2021,72,76,12,9,3,0,0,30,3,0.167,0.208,0.211,0.419,2,0,2,30,1,0,0,5,17
Williams, Mason,592863,2021,33,37,7,5,1,0,1,9,4,0.212,0.333,0.297,0.631,1,1,0,17,0,0,0,3,14.5
Williams, Trevor,592866,2021,25,28,5,5,0,0,0,9,1,0.2,0.2,0.214,0.414,1,0,0,21,0,2,0,1,4.5
Yelich, Christian,592885,2021,399,475,99,69,19,2,9,113,70,0.248,0.373,0.362,0.736,51,3,9,117,3,0,3,70,352.5
Merrifield, Whit,593160,2021,664,720,184,129,42,3,10,103,40,0.277,0.395,0.317,0.711,74,4,40,162,4,0,12,97,575.5
Martinez, Carlos,593372,2021,24,25,2,1,1,0,0,15,0,0.083,0.125,0.08,0.205,0,0,0,16,0,1,0,1,-3.5
Bogaerts, Xander,593428,2021,529,603,156,98,34,1,23,113,62,0.295,0.493,0.37,0.863,79,1,5,144,5,0,7,90,528.5
Bonifacio, Jorge,593528,2021,11,12,1,1,0,0,0,6,1,0.091,0.091,0.167,0.258,2,0,0,7,0,0,0,0,3
Rivas, Webster,593590,2021,68,77,15,11,2,0,2,16,8,0.221,0.338,0.299,0.637,4,0,0,24,0,1,0,8,39
Alberto, Hanser,593643,2021,241,255,65,40,20,3,2,26,4,0.27,0.402,0.286,0.689,24,1,4,103,4,4,2,25,172
Polanco, Jorge,593871,2021,588,644,158,88,35,2,33,118,45,0.269,0.503,0.323,0.826,98,6,11,152,5,0,6,97,596
Sano, Miguel,593934,2021,470,532,105,51,24,0,30,183,59,0.223,0.466,0.312,0.778,75,1,2,135,2,0,1,68,409.5
Difo, Wilmer,594694,2021,219,240,59,45,7,3,4,54,20,0.269,0.384,0.329,0.713,24,0,1,116,0,0,1,25,152
Calhoun, Kole,594777,2021,166,182,39,26,8,0,5,41,15,0.235,0.373,0.297,0.67,17,0,1,51,0,0,1,17,109.5
deGrom, Jacob,594798,2021,33,33,12,11,1,0,0,9,0,0.364,0.394,0.364,0.758,6,0,0,15,0,0,0,4,24.5
Duvall, Adam,594807,2021,513,555,117,60,17,2,38,174,35,0.228,0.491,0.281,0.772,113,0,5,146,4,0,3,67,507
Eaton, Adam,594809,2021,254,288,51,33,10,2,6,71,22,0.201,0.327,0.278,0.605,30,0,3,83,7,4,1,38,180.5
Gosselin, Phil,594838,2021,345,373,90,69,14,0,7,81,24,0.261,0.362,0.314,0.676,47,2,4,104,3,0,1,40,251.5
Schebler, Scott,594988,2021,34,34,5,2,3,0,0,17,0,0.147,0.235,0.147,0.382,0,0,0,14,0,0,0,3,2.5
Kiermaier, Kevin,595281,2021,348,390,90,60,19,7,4,99,33,0.259,0.388,0.328,0.716,37,5,9,122,5,0,4,54,264.5
Knapp, Andrew,595284,2021,145,159,22,17,3,0,2,61,10,0.152,0.214,0.214,0.428,11,0,0,62,2,1,1,13,47.5
Wallach, Chad,595453,2021,60,66,12,9,2,1,0,32,3,0.2,0.267,0.242,0.509,6,0,0,23,1,0,2,2,18
Alfaro, Jorge,595751,2021,295,311,72,52,15,1,4,99,11,0.244,0.342,0.283,0.625,30,1,8,92,5,0,0,22,164.5
Profar, Jurickson,595777,2021,353,412,80,57,17,2,4,65,49,0.227,0.32,0.328,0.648,33,5,10,137,6,1,2,47,263.5
Baez, Javier,595879,2021,502,547,133,82,18,2,31,184,28,0.265,0.494,0.318,0.812,87,5,18,138,13,0,3,80,482
Cave, Jake,595909,2021,164,178,31,21,6,1,3,62,10,0.189,0.293,0.247,0.54,13,1,1,76,3,1,0,14,71
Evans, Phillip,595943,2021,214,247,44,34,5,0,5,53,28,0.206,0.299,0.312,0.611,16,0,1,76,5,0,0,23,127.5
Gallagher, Cam,595956,2021,112,124,28,21,6,0,1,20,8,0.25,0.33,0.29,0.621,7,0,0,48,0,2,1,9,58
Hedges, Austin,595978,2021,286,312,51,34,7,0,10,87,15,0.178,0.308,0.215,0.522,31,0,1,88,1,7,3,32,156.5
Heineman, Scott,595981,2021,30,34,3,1,0,0,2,15,3,0.1,0.3,0.206,0.506,3,0,0,19,1,0,0,5,16.5
Lindor, Francisco,596019,2021,452,524,104,65,16,3,20,96,58,0.23,0.412,0.319,0.73,63,4,10,125,5,6,3,73,416
Nogowski Jr., John,596056,2021,129,143,30,22,7,0,1,22,12,0.233,0.31,0.301,0.611,14,1,0,52,1,0,1,14,83
Odor, Rougned,596059,2021,322,361,65,38,12,0,15,100,27,0.202,0.379,0.285,0.664,39,1,0,102,11,1,0,42,229
Slater, Austin,596103,2021,274,306,66,41,12,1,12,84,28,0.241,0.423,0.32,0.744,32,3,15,129,4,0,0,39,236
Story, Trevor,596115,2021,526,595,132,69,34,5,24,139,53,0.251,0.471,0.329,0.801,75,6,20,142,11,0,5,88,514.5
Stubbs, Garrett,596117,2021,34,38,6,4,2,0,0,7,2,0.176,0.235,0.211,0.446,3,0,0,18,0,2,0,2,14.5
Vogelbach, Daniel,596129,2021,215,258,47,30,8,0,9,57,43,0.219,0.381,0.349,0.73,24,0,0,93,0,0,0,30,174.5
Weaver, Luke,596133,2021,19,22,2,2,0,0,0,12,1,0.105,0.105,0.136,0.242,1,0,0,13,0,2,0,1,0
Sanchez, Gary,596142,2021,383,440,78,41,13,1,23,121,52,0.204,0.423,0.307,0.73,54,0,0,117,5,0,0,54,320.5
Kepler, Max,596146,2021,426,490,90,46,21,4,19,96,54,0.211,0.413,0.306,0.719,54,0,10,121,6,0,4,61,377
Gomber, Austin,596295,2021,32,42,3,3,0,0,0,13,1,0.094,0.094,0.095,0.189,1,0,0,22,0,9,0,0,-0.5
Quinn, Roman,596451,2021,52,62,9,5,2,2,0,19,6,0.173,0.288,0.306,0.595,2,3,4,28,4,0,0,8,32.5
Franco, Maikel,596748,2021,377,403,79,46,22,0,11,67,20,0.21,0.355,0.253,0.609,47,0,0,104,3,0,3,31,248.5
Garcia, Robel,596825,2021,106,117,16,12,3,0,1,42,8,0.151,0.208,0.214,0.421,8,0,0,46,1,1,1,8,34
Choi, Ji-Man,596847,2021,258,305,59,34,14,0,11,87,45,0.229,0.411,0.348,0.758,45,0,0,83,2,0,0,36,235.5
Bradley Jr., Jackie,598265,2021,387,428,63,40,14,3,6,132,28,0.163,0.261,0.236,0.497,29,1,7,134,10,0,3,39,183
Motter, Taylor,600301,2021,26,29,5,3,1,1,0,8,3,0.192,0.308,0.276,0.584,1,0,0,16,0,0,0,5,14
La Stella, Tommy,600303,2021,220,242,55,36,11,1,7,26,18,0.25,0.405,0.306,0.71,27,1,0,76,1,0,1,26,174
Severino, Pedro,600474,2021,379,419,94,65,18,0,11,109,34,0.248,0.383,0.308,0.69,46,0,0,113,1,0,5,32,249.5
Nunez, Renato,600524,2021,53,55,10,3,3,0,4,16,1,0.189,0.472,0.218,0.69,7,0,0,14,1,0,0,7,40
Candelario, Jeimer,600869,2021,557,626,151,90,42,3,16,135,65,0.271,0.443,0.351,0.795,67,0,0,149,4,0,0,75,457.5
Daza, Yonathan,602074,2021,301,331,85,69,12,2,2,60,21,0.282,0.355,0.326,0.682,30,1,2,107,2,6,1,26,189
Urias, Ramon,602104,2021,262,296,73,52,14,0,7,76,28,0.279,0.412,0.361,0.774,38,2,1,85,6,0,0,33,213
Rondon, Jose,602922,2021,80,90,21,15,3,0,3,17,8,0.263,0.413,0.322,0.735,9,0,2,63,0,0,2,13,67.5
Ahmed, Nick,605113,2021,434,473,96,58,30,3,5,104,34,0.221,0.339,0.279,0.618,38,2,7,129,2,2,1,46,265
Anderson, Brian,605119,2021,233,264,58,42,9,0,7,65,26,0.249,0.378,0.337,0.715,28,0,5,67,5,0,0,24,176.5
Barnes, Austin,605131,2021,200,225,43,29,8,0,6,56,20,0.215,0.345,0.298,0.643,23,1,1,77,4,1,0,28,140
Bell, Josh,605137,2021,498,568,130,78,24,1,27,101,65,0.261,0.476,0.347,0.823,88,0,0,144,2,0,3,75,504.5
Betts, Mookie,605141,2021,466,550,123,68,29,3,23,86,68,0.264,0.487,0.367,0.854,58,5,10,122,11,0,5,93,487
Caratini, Victor,605170,2021,313,356,71,55,9,0,7,82,35,0.227,0.323,0.309,0.632,39,0,2,116,4,0,4,33,214
Davies, Zach,605200,2021,34,44,6,6,0,0,0,8,0,0.176,0.176,0.136,0.313,2,0,0,31,0,10,0,2,8
Davis, J.D.,605204,2021,179,211,51,34,12,0,5,68,24,0.285,0.436,0.384,0.82,23,0,1,73,6,0,2,18,140
Garcia, Aramis,605244,2021,88,94,18,14,1,0,3,28,1,0.205,0.318,0.234,0.552,7,0,0,32,3,2,0,8,40
Houser, Adrian,605288,2021,42,46,3,1,0,0,2,30,2,0.071,0.214,0.109,0.323,2,0,0,26,0,2,0,2,2
Lopez, Jack,605346,2021,13,16,2,0,2,0,0,6,1,0.154,0.308,0.188,0.495,0,0,0,7,0,2,0,2,4
Machin, Vimael,605353,2021,32,37,4,4,0,0,0,10,3,0.125,0.125,0.189,0.314,1,0,0,15,0,2,0,1,5
Martini, Nick,605361,2021,37,45,10,9,1,0,0,10,6,0.27,0.297,0.356,0.653,4,1,0,25,0,0,2,4,23
Musgrove, Joe,605397,2021,51,57,7,5,2,0,0,23,1,0.137,0.176,0.14,0.317,1,0,0,36,0,4,1,2,2.5
Nola, Aaron,605400,2021,49,63,7,5,2,0,0,29,6,0.143,0.184,0.206,0.39,4,0,0,31,0,7,1,5,13.5
Panik, Joe,605412,2021,236,257,49,37,9,0,3,34,17,0.208,0.284,0.265,0.548,18,0,2,95,2,1,1,17,126
Perez, Michael,605421,2021,210,231,30,14,8,1,7,68,19,0.143,0.29,0.221,0.511,21,1,0,70,2,0,0,19,108
Ross, Joe,605452,2021,32,39,8,8,0,0,0,14,1,0.25,0.25,0.256,0.506,3,0,0,21,1,5,0,1,10
Snell, Blake,605483,2021,34,37,4,4,0,0,0,17,0,0.118,0.118,0.108,0.226,0,0,0,25,0,3,0,1,-3.5
Thompson, Zach,605507,2021,15,18,2,1,1,0,0,9,0,0.133,0.2,0.111,0.311,0,0,0,25,0,3,0,0,-1.5
